id,wiki_id,name,status,type,lat,lng,country,weight,nr_tokens_norm
494267,36921,Tunja,outline,city,5.5333,-73.3667,Colombia,4387,0.007716143143568868
915125,36922,Tunkinsky National Park,outline,park,51.666667,102.25,Russia,797,0.002187253174554955
529546,36923,Tunku Abdul Rahman National Park,outline,park,5.97,116.0,Malaysia,80217,0.05607874111428398
942438,36927,Tupelo,usable,city,34.259722,-88.725833,United States of America,2119,0.0045871559633027525
236428,36928,Tupiza,outline,city,-21.4375,-65.71583299999999,Bolivia,24737,0.025366061121574822
805313,36932,Turangi,outline,city,-39.0,175.81666666667,New Zealand,1249,0.0030986086639528524
670090,36933,Turbo,outline,city,8.093,-76.72800000000002,Colombia,13537,0.016829698037547847
240249,36934,Turda,outline,city,46.5333,23.8667,Romania,21325,0.022935779816513763
117960,36937,Turin,usable,city,45.0667,7.7,Italy,181528,0.09696822407193632
699155,36938,Turkestan,outline,city,43.3,68.24361111111101,Kazakhstan,24519,0.025214168540008505
628628,36941,Turkey (Texas),outline,city,34.3925,-100.89778,United States of America,2081,0.004526398930676225
154435,36942,Turkey Run State Park,usable,park,39.884511,-87.206769,United States of America,28819,0.02813050610608178
190203,36951,Turkmenbashi,usable,city,40.016667,52.96666999999999,Turkmenistan,18559,0.02087004070721186
469274,36957,Turku,guide,city,60.45,22.2667,Finland,1088403,0.3210097818822529
692686,36958,Turlock,outline,city,37.505833,-120.848889,United States of America,148,0.00042529922838568566
882073,36960,Turpan,usable,city,42.9833,89.1833,China,12063,0.01555380035239079
327424,36963,Turtle Islands Park,outline,park,6.1494,118.054,Malaysia,23610,0.024576219697429978
537331,36968,Tusayan,outline,city,35.975556,-112.129167,United States of America,1075,0.002764444984506957
463306,36969,Tuscaloosa,usable,city,33.209720000000004,-87.56917,United States of America,33393,0.031077222188468315
729948,36970,Tuscania,outline,city,42.4167,11.8667,Italy,3420,0.006470623974725074
311549,36975,Tuscola (Illinois),outline,city,39.79917,-88.28305999999998,United States of America,189,0.000577191809952002
557353,36976,Tuscumbia,outline,city,34.73111,-87.7025,United States of America,252,0.0007898414241448448
712976,36977,Tutóia,outline,city,-2.75,-42.2667,Brazil,1185,0.0029770945986997994
588320,36979,Tuticorin,outline,city,8.7833333333333,78.133333333333,India,126502,0.07612856188103773
521545,36981,Tutong,outline,city,4.804318,114.656328,Brunei,5248,0.00874901269821982
253928,36983,Tuttle (Oklahoma),outline,city,35.29083,-97.81222,United States of America,453,0.0013670332340968466
183050,36985,Tuttlingen,outline,city,47.98435,8.81906,Germany,2999,0.0058934321647730725
513697,36990,Tuxtla Gutiérrez,outline,city,16.75,-93.15,Mexico,15325,0.018318245336897746
141293,36991,Tui,outline,city,42.048056,-8.644444,Spain,3905,0.007108572817303603
694252,36992,Tuzi,outline,city,42.365556,19.331389,Montenegro,5511,0.00905279786135245
588285,36993,Tuzla,usable,city,44.538056,18.676111,Bosnia and Herzegovina,25308,0.025760981833647244
898876,36998,Tver,outline,city,56.8625,35.924167,Russia,44778,0.037882009842639286
917187,37001,Tvrdošín,outline,city,49.336944,19.550278,Slovakia,23266,0.024333191566923873
919905,37004,Twain Harte,outline,city,38.03972,-120.23278,United States of America,156,0.0004556777446989489
518613,37006,Twante,outline,city,16.7167,95.9333,Myanmar,3811,0.006987058752050549
401640,37010,Twentynine Palms,usable,city,34.138333,-116.0725,United States of America,911,0.002430281305061061
463724,37014,Twillingate,usable,city,49.6482,-54.7635,Canada,23739,0.024667355246369767
200492,37017,Twin Falls,usable,city,42.5833,-114.4667,United States of America,26506,0.02658120177410535
151889,37020,Twisp,outline,city,48.363889,-120.119722,United States of America,207,0.0006379488425785285
500994,37025,Two Harbors,outline,city,33.44,-118.49917,United States of America,1782,0.004040342669664013
322150,37026,Two Harbors (Minnesota),outline,city,47.02278,-91.67083,United States of America,573,0.0016708183972294793
330727,37029,Two Rivers,outline,city,44.15389,-87.56917,United States of America,7407,0.011118536970654354
400661,37037,Twyford,outline,city,51.477,-0.867,United Kingdom,29605,0.028646940883407253
